GrossSpread,MarketValue,OfferPrice,Shares_offered,Syndicated,Num_underwriters,Day1Perf
8521351,562,22,6450000,0,4,2
7889000,508,7,14000000,0,4,2
10143000,525,12,10500000,0,6,2
3220000,142,8,5000000,1,4,2
2722222,395,7,5555556,1,1,2
5299903,261,11,6500000,1,4,2
17516800,345,17,12800000,0,6,2
74628994,5727,15,115000000,1,11,2
6085800,94,6,8400000,1,4,2
15214500,446,14,13500000,0,4,2
840017,760,9,1159445,0,1,2
9130436,128,15,8695653,0,5,2
136050750,49500,33,478000000,1,20,2
5152000,327,16,4000000,0,2,2
56249813,4809,15,88235000,1,8,2
15190350,401,19,10200000,0,5,2
5849130,185,21,3675000,0,4,2
4200000,75,8,7500000,0,4,2
17441667,1248,14,16666667,1,9,2
39744270,4318,18,43500000,1,13,2
45381875,718,21,27500000,0,8,2
1581250,22,10,2200000,0,2,2
8970000,151,20,6000000,0,5,2
3594938,150,17,2775000,0,3,2
6132420,613,18,4867000,0,4,2
37674000,1044,21,26000000,1,10,2
45022500,2618,27,29000000,1,7,2
5376000,286,12,6400000,1,4,2
10867500,312,14,10000000,0,4,2
9371250,321,17,7000000,0,5,2
7546875,473,15,6250000,0,4,2
16696131,1110,14,17250000,1,10,2
157828875,15456,30,126200000,1,33,2
10739808,5156,17,15164795,0,2,2
33712250,613,26,20500000,0,14,2
3542000,1812,8,5500000,1,4,2
13765500,214,6,28500000,0,1,2
8661679,12995,18,14721212,0,1,2
6040518,256,14,5558333,1,4,2
8241188,741,65,2100000,0,3,2
5848162,39350,16,60772782,1,6,2
8918000,553,13,9000000,0,6,2
1155000,131,8,2062500,0,4,2
202093334,7895,31,133333334,1,17,2
9775862,578,14,10344828,0,6,2
600000,23,6,1000000,0,1,2
8212500,183,25,7300000,0,7,2
3922800,155,12,4670000,0,4,2
13548150,300,9,18700000,0,4,2
7229613,21789,10,10871599,1,4,2
1104000,35,6,2000000,0,1,2
18301500,599,21,11750000,0,6,2
1470000,35,7,3000000,0,2,2
11070000,246,20,12300000,0,12,2
2131500,224,7,4350000,0,4,2
3366072,120,4,11250000,0,5,2
10199482,395,11,12066823,0,4,2
1450725,41,6,2900000,0,2,2
19320000,607,24,10000000,0,5,2
18716250,163,16,15000000,0,8,2
21850000,352,16,19000000,0,6,2
,144,8,4400000,0,1,2
6440000,236,12,7666667,0,4,2
644000,27,5,1400000,0,1,2
5936000,647,16,5300000,1,5,2
27600000,1774,16,25000000,1,7,2
3622500,359,10,4500000,1,3,2
4830000,175,12,5000000,1,4,2
16341500,477,14,14500000,0,5,2
1207500,33,4,3000000,0,1,2
14000000,802,16,12500000,1,4,2
5433750,165,9,7500000,1,4,2
10113300,1262,17,16525000,1,5,2
2030000,67,10,2900000,0,1,2
6578773,396,13,6329421,1,5,2
15459231,4395,17,12035000,1,8,2
13682123,571,13,13350000,0,5,2
46035938,650,21,30500000,0,7,2
14596875,277,20,10850000,0,5,2
3292972,114,7,6000000,1,4,2
7233500,4034,10,7400000,1,5,2
85570063,22434,19,60250000,0,7,2
4397942,132,10,6250000,1,4,2
4776100,226,10,6000000,1,4,2
7875000,113,15,7500000,0,4,2
5075000,2177,15,5000000,1,2,2
5232500,331,13,5000000,0,3,2
15185100,269,15,13500000,0,6,2
29785000,3998,10,37000000,1,7,2
26145000,6300,18,35000000,1,17,2
13266400,487,16,10300000,1,5,2
5796000,172,12,6000000,0,2,2
1787100,66,12,2127500,0,1,2
8058050,185,11,9100000,0,4,2
50758123,2535,27,30283020,1,9,2
34500000,1144,20,25000000,1,11,2
1408750,85,7,2500000,0,3,2
4550539,247,8,7066054,1,3,2
1050000,45,6,2500000,0,2,2
6198500,440,14,5500000,1,6,2
15760290,243,14,15060000,0,7,2
15462720,806,13,16700000,1,5,2
3136000,262,14,4000000,1,3,2
17917713,1127,14,16064157,1,8,2
8215830,124,22,4900000,0,5,2
6562500,372,15,6250000,1,5,2
37968975,4172,23,26100000,1,11,2
8946000,347,12,10000000,0,5,2
28350000,410,15,27000000,0,5,2
6037500,247,12,6250000,1,4,2
24122400,1416,12,30400000,1,10,2
5215614,340,8,8098779,0,4,2
39675000,2500,25,24000000,1,11,2
20160305,3312,26,11000000,1,8,2
17627016,913,16,14515000,1,6,2
10300672,224,15,9288000,0,3,2
192500,139,4,550000,0,1,2
17698900,1001,25,68511164,1,6,2
9177000,465,19,6000000,0,6,2
71685513,5071,23,60227274,1,12,2
6118000,8061,10,8000000,1,2,2
19551000,853,19,14700000,1,5,2
6875000,100,8,12500000,0,6,2
4231920,181,12,5038000,0,18,2
16736940,8500,9,25000000,0,4,2
115000,38,8,1000000,0,3,2
5460000,251,12,6500000,1,4,2
5460000,442,13,6000000,1,4,2
,805,38,2120000,1,3,2
